LocationDesc,DataValue
Alabama,24.6
Alaska,22.1
Arizona,19.3
Arkansas,27.3
California,13.6
Colorado,18.1
Connecticut,17.6
Delaware,22.5
District of Columbia,20.3
Florida,20.0
Georgia,20.9
Guam,29.3
Hawaii,17.1
Idaho,17.2
Illinois,20.9
Indiana,25.9
Iowa,21.1
Kansas,22.2
Kentucky,29.5
Louisiana,25.9
Maine,24.5
Maryland,19.1
Massachusetts,18.6
Michigan,23.8
Minnesota,19.1
Mississippi,26.1
Missouri,25.5
Montana,22.4
Nebraska,20.3
Nevada,22.7
New Hampshire,20.4
New Jersey,17.0
New Mexico,21.7
New York,18.3
North Carolina,21.9
North Dakota,22.0
Ohio,25.5
Oklahoma,26.4
Oregon,20.2
Pennsylvania,23.2
Puerto Rico,14.6
Rhode Island,20.6
South Carolina,23.6
South Dakota,23.5
Tennessee,23.4
Texas,18.8
United States,21.3
Utah,11.4
Vermont,20.1
Virgin Islands,
Virginia,20.9
Washington,17.4
West Virginia,30.2
Wisconsin,21.3
Wyoming,23.1
